chain_name,chain_id,code,name,product,tier,total_score,pct_chg,price,pre_close,amount_yi,time,moat_score,growth_score,profit_score,stage_score,evidence_score
氢能,hydrogen_energy,600875.SH,东方电气,电解槽/氢能装备,第二梯队,70.0,4.012898602651383,29.03,27.91,9.92980303,10:52:52,16.0,3.3,4.7,18.0,18.0
氢能,hydrogen_energy,002733.SZ,雄韬股份,燃料电池,第二梯队,68.8,1.780977643046604,26.86,26.39,2.5532595126,10:52:51,16.0,2.7,5.1,18.0,18.0
氢能,hydrogen_energy,300274.SZ,阳光电源,制氢电源/电解槽,第二梯队,66.1,0.5553817271589548,128.55,127.84,37.4903559108,10:52:51,16.0,1.3,12.0,18.0,6.8
氢能,hydrogen_energy,688339.SH,亿华通,燃料电池,第二梯队,64.0,0.15723270440252168,19.11,19.08,0.33401837,10:52:53,16.0,5.0,0.0,18.0,18.0
氢能,hydrogen_energy,600860.SH,京城股份,储氢瓶,观察池,62.8,-0.2361275088547975,8.45,8.47,0.22339841,10:52:51,16.0,0.0,3.4,18.0,14.4
氢能,hydrogen_energy,300471.SZ,厚普股份,加氢站,第二梯队,76.4,-2.3809523809523876,9.02,9.24,0.488950094,10:52:48,16.0,2.8,6.6,18.0,18.0
生物制造,bio_manufacturing,600143.SH,金发科技,生物基材料,暂不优先,48.5,6.338939197930145,16.44,15.46,11.51426511,10:52:50,17.0,5.6,1.9,6.0,6.0
生物制造,bio_manufacturing,300829.SZ,金丹科技,PLA/乳酸,第二梯队,75.4,1.0706638115631717,14.16,14.01,0.2106304513,10:52:42,17.0,4.4,6.0,18.0,18.0
生物制造,bio_manufacturing,300381.SZ,溢多利,酶制剂,观察池,58.4,-0.514579759862783,5.8,5.83,0.25388066,10:52:42,17.0,1.7,8.6,6.0,12.0
生物制造,bio_manufacturing,688065.SH,凯赛生物,生物基材料,第一梯队,87.2,-0.8856682769726202,49.24,49.68,1.33008183,10:52:51,17.0,7.2,8.9,18.0,18.0
生物制造,bio_manufacturing,600873.SH,梅花生物,发酵工程,观察池,57.7,-1.262626262626258,7.82,7.92,0.78040734,10:52:51,17.0,0.0,3.1,12.0,13.6
生物制造,bio_manufacturing,688639.SH,华恒生物,合成生物/氨基酸,观察池,51.8,-1.7109144542772812,16.66,16.95,0.58862257,10:52:51,17.0,0.0,6.8,6.0,8.0
第六代移动通信,sixth_generation_6g,300502.SZ,新易盛,高速光模块,第一梯队,82.6,8.043222003929284,549.94,509.0,182.67573569580003,10:52:51,19.0,15.0,12.0,18.0,5.6
