trade_date,rank,code,name,stk_code,stk_name,industry,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,remain_size_yi,pledge_total_ratio,route_a_score,route_b_score,revision_countdown_score,revision_history_score,governance_score,theme_score,liquidity_score,call_risk,risk_flags,missing_fields
2026-06-22,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,54.8,115.42,115.0,cb_call.call_price,0.42,6.82,12,5.52,,55.5,53.0,,,60.0,,10.1,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,2,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,50.8,118.85,118.0,cb_call.call_price,0.85,18.98,15,1.57,,43.8,53.0,,,60.0,,5.4,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,3,128125.SZ,华阳转债,002949,华阳国际,建筑工程,B下修事件,B,50.8,113.09,113.0,cb_call.call_price,0.09,47.36,30,4.5,,33.9,83.0,,,60.0,,9.5,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,4,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,43.8,120.28,118.0,cb_call.call_price,2.28,20.01,30,2.97,,44.9,53.0,,,60.0,,8.5,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,5,110075.SH,南航转债,600029,南方航空,空运,底价观察,C,37.6,109.1,106.5,cb_basic.maturity_call_price,2.6,27.49,107,58.96,,41.1,50.0,,,60.0,,20.4,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,6,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,34.2,113.75,110.0,cb_basic.maturity_call_price,3.75,20.85,114,14.05,,42.8,53.0,,,60.0,,7.7,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,53.7,116.5,115.0,cb_call.call_price,1.5,2.34,12,5.52,,60.6,53.0,,,60.0,,22.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,2,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,52.0,118.24,118.0,cb_call.call_price,0.24,22.46,15,1.57,,41.3,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,3,128125.SZ,华阳转债,002949,华阳国际,建筑工程,B下修事件,B,51.2,112.95,113.0,cb_call.call_price,-0.05,53.08,30,4.5,,33.7,83.0,,,60.0,,12.9,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,4,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,B,46.3,119.57,118.0,cb_call.call_price,1.57,23.26,30,2.97,,42.8,53.0,,,60.0,,18.6,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
