trade_date,rank,code,name,stk_code,stk_name,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,remain_size,pledge_total_ratio,route_a_score,route_b_score,revision_countdown_score,revision_history_score,governance_score,theme_score,liquidity_score,risk_flags,missing_fields
2026-06-11,3,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,43.4,111.47,110.0,cb_basic.maturity_call_price,1.47,22.91,51,,,41.0,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-11,4,113605.SH,大参转债,603233,大参林,底价观察,C,38.6,113.13,110.0,cb_basic.maturity_call_price,3.13,15.95,114,,,47.7,53.0,,,60.0,,5.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,1,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,50.6,116.2,115.0,cb_call.call_price,1.2,8.15,12,,,52.5,53.0,,,60.0,,8.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,2,123059.SZ,银信转债,300231,银信科技,底价观察,B,47.7,119.02,118.0,cb_call.call_price,1.02,26.47,15,,,39.1,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,3,113597.SH,佳力转债,603912,佳力图,底价观察,C,43.2,119.96,118.0,cb_call.call_price,1.96,24.85,30,,,40.2,53.0,,,60.0,,9.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,4,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,41.2,112.0,110.0,cb_basic.maturity_call_price,2.0,23.75,51,,,40.9,53.0,,,60.0,,8.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,5,113605.SH,大参转债,603233,大参林,底价观察,C,33.8,114.5,110.0,cb_basic.maturity_call_price,4.5,14.03,114,,,47.9,53.0,,,60.0,,10.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,1,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,49.7,116.35,115.0,cb_call.call_price,1.35,8.3,12,,,52.1,53.0,,,60.0,,7.3,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,2,123059.SZ,银信转债,300231,银信科技,底价观察,B,48.2,119.04,118.0,cb_call.call_price,1.04,24.29,15,,,40.1,53.0,,,60.0,,5.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,3,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,40.4,112.4,110.0,cb_basic.maturity_call_price,2.4,21.2,51,,,42.5,53.0,,,60.0,,7.3,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,4,113597.SH,佳力转债,603912,佳力图,底价观察,C,38.7,121.11,118.0,cb_call.call_price,3.11,24.26,30,,,40.7,53.0,,,60.0,,9.6,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,5,113605.SH,大参转债,603233,大参林,底价观察,C,31.5,114.89,110.0,cb_basic.maturity_call_price,4.89,16.13,114,,,46.5,53.0,,,60.0,,10.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,6,127027.SZ,能化转债,000552,甘肃能化,底价观察,C,30.0,114.3,110.0,cb_basic.maturity_call_price,4.3,29.8,163,,,39.3,53.0,,,60.0,,12.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,7,110076.SH,华海转债,600521,华海药业,底价观察,C,27.9,114.71,110.0,cb_basic.maturity_call_price,4.71,29.28,125,,,38.6,53.0,,,60.0,,7.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,1,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,51.5,116.14,115.0,cb_call.call_price,1.14,7.43,12,,,54.6,53.0,,,60.0,,9.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,2,128125.SZ,华阳转债,002949,华阳国际,B下修事件,B,51.3,113.01,113.0,cb_call.call_price,0.01,45.39,30,,,35.2,83.0,,,60.0,,5.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,3,123059.SZ,银信转债,300231,银信科技,底价观察,B,49.5,118.9,118.0,cb_call.call_price,0.9,22.58,15,,,42.5,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,4,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,43.2,112.0,110.0,cb_basic.maturity_call_price,2.0,20.05,51,,,45.4,53.0,,,60.0,,12.9,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,5,113597.SH,佳力转债,603912,佳力图,底价观察,C,42.5,120.41,118.0,cb_call.call_price,2.41,21.38,30,,,43.4,53.0,,,60.0,,5.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,6,113605.SH,大参转债,603233,大参林,底价观察,C,32.8,114.55,110.0,cb_basic.maturity_call_price,4.55,16.41,114,,,47.3,53.0,,,60.0,,8.3,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,7,110075.SH,南航转债,600029,南方航空,底价观察,C,32.2,110.53,106.5,cb_basic.maturity_call_price,4.03,26.53,107,,,42.7,50.0,,,60.0,,20.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,1,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,51.4,116.0,115.0,cb_call.call_price,1.0,8.15,12,,,52.5,53.0,,,60.0,,9.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,2,128125.SZ,华阳转债,002949,华阳国际,B下修事件,B,50.6,113.0,113.0,cb_call.call_price,0.0,50.28,30,,,32.8,83.0,,,60.0,,7.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,3,123059.SZ,银信转债,300231,银信科技,底价观察,B,50.0,118.59,118.0,cb_call.call_price,0.59,24.11,15,,,40.1,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,4,113597.SH,佳力转债,603912,佳力图,底价观察,B,46.0,119.29,118.0,cb_call.call_price,1.29,24.16,30,,,40.5,53.0,,,60.0,,8.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,5,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,42.0,112.23,110.0,cb_basic.maturity_call_price,2.23,18.17,51,,,44.3,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,6,113042.SH,上银转债,601229,上海银行,底价观察,C,36.8,116.62,112.0,cb_basic.maturity_call_price,4.62,8.08,209,,,56.5,53.0,,,60.0,,25.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,7,110075.SH,南航转债,600029,南方航空,底价观察,C,34.2,110.14,106.5,cb_basic.maturity_call_price,3.64,24.69,107,,,44.2,50.0,,,60.0,,20.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,8,113605.SH,大参转债,603233,大参林,底价观察,C,32.9,114.18,110.0,cb_basic.maturity_call_price,4.18,19.79,114,,,43.6,53.0,,,60.0,,7.9,[],"[""pledge_total_ratio"", ""ownership_nature""]"
