ts_code,name,trade_date,q,a,pub_time,industry
002708.SZ,光洋股份,20250912,你好，董秘。光洋股份机器人业务目前依赖宇树科技、智元机器人等头部客户（占比超 60%），未来是否有明确的新客户拓展计划？已进入哪些潜在客户（如其他人形机器人厂商、工业机器人新势力）的供应链验证阶段？,您好，公司半年报中已经做了相关项目的信息披露，包括与头部公司的业务合作情况。公司非常看好人形机器人市场，多种方式积极布局拓展机器人相关业务，加大机器人用关节模组、减速器及轴承、齿轮、PCB等产品的研发和业务拓展，多款产品已经量产，部分产品正在验证阶段，具体新客户名称限于保密要求不便说明，相关业务情况请关注公司定期报告。谢谢。,2025-09-17 17:03:44,制造业
002708.SZ,光洋股份,20250806,董秘您好！请问贵公司有产品应用到数控机床领域？,您好，公司专注于各类新能源与燃油汽车精密零部件、高端工业装备、智能机器人零部件及电子线路板、电子元器件的研发、生产与销售。在高端工业装备领域暂不涉及数控机床，主要是风电偏航减速机和工业机器人，涉及产品主要是行星排零部件和交叉滚子轴承，感谢您的关注!,2025-08-07 17:06:24,制造业
002708.SZ,光洋股份,20250624,尊敬的董秘，您好，国家将在今年9月3日在天安门广场举行阅兵式，以隆重纪念中国人民抗日战争胜利80周年。刚看到有信息将公司列入阅兵概念股，请问光洋股份有什么产品服务于阅兵式现场或装备？,您好，公司轴承产品通过变速器主机厂或整车厂与相关车辆进行配套，具体业务信息请关注定期报告披露的内容，感谢您的关注！,2025-06-26 17:00:11,制造业
002708.SZ,光洋股份,20250520,什么时候完成交易复牌,您好，公司股票自2025年5月19日开市起停牌，预计在不超过10个交易日的时间内披露本次交易方案，即在2025年6月3日前按照《公开发行证券的公司信息披露内容与格式准则第26号——上市公司重大资产重组》的要求披露相关信息。若公司未能在上述期限内召开董事会审议并披露交易方案，公司证券最晚将于2025年6月3日开市起复牌并终止筹划相关事项，具体内容详见公司《关于筹划发行股份及支付现金方式购买资产并募集配套资金事项的停牌公告》。感谢您的关注！,2025-05-20 17:16:36,制造业
002708.SZ,光洋股份,20250519,本次购买资产停盘多长时间？,您好，公司股票自2025年5月19日开市起停牌，预计在不超过10个交易日的时间内披露本次交易方案，即在2025年6月3日前按照《公开发行证券的公司信息披露内容与格式准则第26号——上市公司重大资产重组》的要求披露相关信息。若公司未能在上述期限内召开董事会审议并披露交易方案，公司证券最晚将于2025年6月3日开市起复牌并终止筹划相关事项，具体内容详见公司《关于筹划发行股份及支付现金方式购买资产并募集配套资金事项的停牌公告》。感谢您的关注！,2025-05-20 17:15:41,制造业
002708.SZ,光洋股份,20250516,董秘你好，贵司汽车零部件中，有无AEBS制动产品，贵司与小鹏飞行汽车有哪方面的业务往来，军工产品都有那些，给那些军工厂供货,您好，公司目前积极拓展线控制动业务，产品涉及EHB和EMB。有关公司项目信息，请关注定期报告披露的内容，谢谢。,2025-05-20 17:14:38,制造业
002708.SZ,光洋股份,20250515,公司减速器/机 目前发展到什么规模？有批量销售了么,您好，公司专注于研发制造各类新能源与燃油汽车精密零部件、高端工业装备及智能机器人零部件，包括轴承、行星齿轮、空心轴以及丝杠类产品等，公司在减速器行业布局多年，是同时具备轴承、齿轮以及轴类产品研发和生产的专业厂家，在行星减速器和谐波减速器零部件方面积累多年经验，相关项目信息请关注定期报告披露的内容。感谢您的关注！,2025-05-16 18:59:04,制造业
002708.SZ,光洋股份,20250414,请问公司开展人形机器人用高精密行星滚柱丝杠的设计与工艺关键技术研究，从研究到产出需要多久？公司有这方面的研发人才吗？,您好，公司业务情况请关注定期报告相关信息，非常感谢！,2025-04-14 17:13:12,制造业
002708.SZ,光洋股份,20250409,公司收入中美国市场的收入占比多少？关税贸易战对公司业绩影响怎样？,您好，据公司2024年半年度报告数据显示，公司境外业务合计占比12.61%，其中直接出口美国收入占比很小，此次关税调整对公司业绩影响十分有限。公司正与相关客户协商分担加征进口关税的具体方案，争取将影响面降到最低，感谢您的关注！,2025-04-14 17:12:37,制造业
002708.SZ,光洋股份,20250409,你好，请问关税对公司影响大吗？公司有什么方法降低关税对公司的影响？谢谢,您好，据公司2024年半年度报告数据显示，公司境外业务合计占比12.61%，其中直接出口美国的业务占比很小。此次关税调整对公司业绩影响十分有限。公司正与相关客户协商分担加征进口关税的具体方案，争取将影响面降到最低。公司也将持续关注国际经贸政策和环境的变化，评估是否继续目前美国业务合作以及继续开拓美国市场的可能性；同时将进一步开拓新兴地区市场作为公司增量业务，从而替代欧美车企退出后的市场空白，感谢您对公司的关注！,2025-04-14 17:10:32,制造业
