ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,code6
300503.SZ,20151231,玻璃雕铣,P,77122800.0,,,CNY,300503
300503.SZ,20151231,数控雕铣机,P,90040200.0,49768900.0,40271300.0,CNY,300503
300503.SZ,20151231,其他客户,P,12917400.0,,,CNY,300503
300503.SZ,20151231,其他主营业务,P,2920700.0,1115400.0,1805300.0,CNY,300503
300503.SZ,20151231,其他,P,2920700.0,1115400.0,1805300.0,CNY,300503
300503.SZ,20151231,主轴整机-PCB钻孔机,P,3002400.0,1732900.0,1269500.0,CNY,300503
300503.SZ,20151231,主轴整机-PCB成型机,P,24610600.0,14398300.0,10212300.0,CNY,300503
300503.SZ,20151231,主轴整机,P,172100553.01,86842694.4,85257858.61,CNY,300503
300503.SZ,20141231,高速加工中心,P,23401500.0,11626000.0,11775500.0,CNY,300503
300503.SZ,20141231,零配件及维修-其他,P,22174600.0,,,CNY,300503
300503.SZ,20141231,零配件及维修-PCB行业,P,31008700.0,,,CNY,300503
300503.SZ,20141231,零配件及维修,P,53183348.64,30953011.47,22230337.17,CNY,300503
300503.SZ,20141231,金属雕铣,P,9351300.0,,,CNY,300503
300503.SZ,20141231,玻璃雕铣,P,72710500.0,,,CNY,300503
300503.SZ,20141231,数控雕铣机,P,82061800.0,50591000.0,31470800.0,CNY,300503
300503.SZ,20141231,富士康,P,87000.0,,,CNY,300503
300503.SZ,20141231,其他客户,P,9264300.0,,,CNY,300503
300503.SZ,20141231,其他主营业务,P,1817600.0,1142700.0,674900.0,CNY,300503
300503.SZ,20141231,其他,P,1817600.0,1142700.0,674900.0,CNY,300503
300503.SZ,20141231,主轴整机-PCB钻孔机,P,11333100.0,6162500.0,5170600.0,CNY,300503
300503.SZ,20141231,主轴整机-PCB成型机,P,28297100.0,15376000.0,12921100.0,CNY,300503
300503.SZ,20141231,主轴整机,P,146911115.52,84898166.91,62012948.61,CNY,300503
300503.SZ,20140630,高速加工中心,P,4112400.0,1807800.0,2304600.0,CNY,300503
300503.SZ,20140630,零配件及维修-其他,P,3070900.0,,,CNY,300503
300503.SZ,20140630,零配件及维修-PCB行业,P,15627900.0,,,CNY,300503
300503.SZ,20140630,零配件及维修,P,18698800.0,10734200.0,7964600.0,CNY,300503
300503.SZ,20140630,金属雕铣,P,44690000.0,,,CNY,300503
300503.SZ,20140630,数控雕铣机,P,44690000.0,28743700.0,15946300.0,CNY,300503
300503.SZ,20140630,富士康,P,87000.0,,,CNY,300503
300503.SZ,20140630,其他客户,P,44603000.0,,,CNY,300503
300503.SZ,20140630,其他,P,1174200.0,636400.0,537800.0,CNY,300503
300503.SZ,20140630,主轴整机-PCB钻孔机,P,6205000.0,3659600.0,2545400.0,CNY,300503
300503.SZ,20140630,主轴整机-PCB成型机,P,18565200.0,10490800.0,8074400.0,CNY,300503
300503.SZ,20140630,主轴整机,P,74746800.0,45338200.0,29408600.0,CNY,300503
300503.SZ,20140331,高速加工中心,P,2546000.0,1105700.0,1440300.0,CNY,300503
300503.SZ,20140331,零配件及维修-其他,P,908800.0,,,CNY,300503
300503.SZ,20140331,零配件及维修-PCB行业,P,7897000.0,,,CNY,300503
300503.SZ,20140331,零配件及维修,P,8805800.0,5699100.0,3106700.0,CNY,300503
300503.SZ,20140331,金属雕铣,P,10837600.0,,,CNY,300503
300503.SZ,20140331,数控雕铣机,P,10837600.0,6674000.0,4163600.0,CNY,300503
300503.SZ,20140331,富士康,P,27000.0,,,CNY,300503
300503.SZ,20140331,其他客户,P,10810600.0,,,CNY,300503
300503.SZ,20140331,其他,P,763700.0,364200.0,399500.0,CNY,300503
300503.SZ,20140331,主轴整机-PCB钻孔机,P,3262700.0,1926600.0,1336100.0,CNY,300503
